,speaker_label,speaker_num,start_time,end_time,speaker_change_index,segment_start_time,segment_end_time
256,Wallace,0,122.94,123.48,0.0,117.44,167.55
257,Wallace,0,123.49,123.75,0.0,117.44,167.55
258,Wallace,0,123.75,123.88,0.0,117.44,167.55
259,Wallace,0,123.88,124.41,0.0,117.44,167.55
260,Wallace,0,124.41,124.97,0.0,117.44,167.55
261,Wallace,0,125.64,126.1,0.0,117.44,167.55
262,Wallace,0,126.1,126.49,0.0,117.44,167.55
263,Wallace,0,126.49,126.65,0.0,117.44,167.55
264,Wallace,0,126.65,127.33,0.0,117.44,167.55
265,Wallace,0,127.34,127.83,0.0,117.44,167.55
266,Wallace,0,127.84,128.22,0.0,117.44,167.55
267,Wallace,0,128.22,128.64,0.0,117.44,167.55
268,Wallace,0,128.64,128.84,0.0,117.44,167.55
269,Wallace,0,128.84,128.96,0.0,117.44,167.55
270,Wallace,0,128.96,129.61,0.0,117.44,167.55
271,Wallace,0,129.62,130.21,0.0,117.44,167.55
272,Wallace,0,130.22,131.07,0.0,117.44,167.55
273,Wallace,0,131.07,131.19,0.0,117.44,167.55
274,Wallace,0,131.19,131.55,0.0,117.44,167.55
275,Wallace,0,131.94,132.26,0.0,117.44,167.55
276,Wallace,0,132.26,132.55,0.0,117.44,167.55
277,Wallace,0,132.55,133.22,0.0,117.44,167.55
278,Wallace,0,133.23,133.53,0.0,117.44,167.55
279,Wallace,0,133.53,133.63,0.0,117.44,167.55
280,Wallace,0,133.63,134.21,0.0,117.44,167.55
281,Wallace,0,134.42,134.68,0.0,117.44,167.55
282,Wallace,0,134.68,134.99,0.0,117.44,167.55
283,Wallace,0,134.99,135.09,0.0,117.44,167.55
284,Wallace,0,135.09,135.9,0.0,117.44,167.55
285,Wallace,0,135.9,136.05,0.0,117.44,167.55
286,Wallace,0,136.05,136.49,0.0,117.44,167.55
287,Wallace,0,136.5,136.84,0.0,117.44,167.55
288,Wallace,0,136.84,137.14,0.0,117.44,167.55
289,Wallace,0,137.14,137.96,0.0,117.44,167.55
290,Wallace,0,137.96,138.15,0.0,117.44,167.55
291,Wallace,0,138.15,138.23,0.0,117.44,167.55
292,Wallace,0,138.23,138.84,0.0,117.44,167.55
293,Wallace,0,139.16,139.31,0.0,117.44,167.55
294,Wallace,0,139.31,140.09,0.0,117.44,167.55
295,Wallace,0,140.64,141.31,0.0,117.44,167.55
296,Wallace,0,141.31,141.4,0.0,117.44,167.55
297,Wallace,0,141.4,141.96,0.0,117.44,167.55
298,Wallace,0,142.11,142.43,0.0,117.44,167.55
299,Wallace,0,142.43,142.94,0.0,117.44,167.55
300,Wallace,0,142.94,143.52,0.0,117.44,167.55
301,Wallace,0,143.52,143.73,0.0,117.44,167.55
302,Wallace,0,143.73,144.06,0.0,117.44,167.55
303,Wallace,0,144.06,144.24,0.0,117.44,167.55
304,Wallace,0,144.24,144.45,0.0,117.44,167.55
305,Wallace,0,144.45,144.59,0.0,117.44,167.55
306,Wallace,0,144.59,144.69,0.0,117.44,167.55
307,Wallace,0,144.69,144.97,0.0,117.44,167.55
308,Wallace,0,144.98,145.1,0.0,117.44,167.55
309,Wallace,0,145.1,145.21,0.0,117.44,167.55
310,Wallace,0,145.21,145.84,0.0,117.44,167.55
311,Wallace,0,145.84,145.99,0.0,117.44,167.55
312,Wallace,0,145.99,146.85,0.0,117.44,167.55
313,Wallace,0,147.15,147.3,0.0,117.44,167.55
314,Wallace,0,147.3,147.7,0.0,117.44,167.55
315,Wallace,0,147.7,148.07,0.0,117.44,167.55
316,Wallace,0,148.07,148.25,0.0,117.44,167.55
317,Wallace,0,148.25,148.9,0.0,117.44,167.55
318,Wallace,0,148.9,149.28,0.0,117.44,167.55
319,Wallace,0,149.28,149.46,0.0,117.44,167.55
320,Wallace,0,149.47,149.68,0.0,117.44,167.55
321,Wallace,0,149.68,150.33,0.0,117.44,167.55
322,Wallace,0,150.84,151.3,0.0,117.44,167.55
323,Wallace,0,151.3,151.4,0.0,117.44,167.55
324,Wallace,0,151.4,151.67,0.0,117.44,167.55
325,Wallace,0,151.67,151.81,0.0,117.44,167.55
326,Wallace,0,151.81,152.13,0.0,117.44,167.55
327,Wallace,0,152.13,152.79,0.0,117.44,167.55
328,Wallace,0,152.8,152.92,0.0,117.44,167.55
329,Wallace,0,152.92,153.29,0.0,117.44,167.55
330,Wallace,0,153.29,153.42,0.0,117.44,167.55
331,Wallace,0,153.42,153.57,0.0,117.44,167.55
332,Wallace,0,153.57,154.08,0.0,117.44,167.55
333,Wallace,0,154.09,154.44,0.0,117.44,167.55
334,Wallace,0,154.44,154.78,0.0,117.44,167.55
335,Wallace,0,154.78,155.12,0.0,117.44,167.55
336,Wallace,0,155.12,155.59,0.0,117.44,167.55
337,Wallace,0,155.6,155.78,0.0,117.44,167.55
338,Wallace,0,155.79,156.09,0.0,117.44,167.55
339,Wallace,0,156.09,156.55,0.0,117.44,167.55
340,Wallace,0,156.55,156.67,0.0,117.44,167.55
341,Wallace,0,156.67,157.25,0.0,117.44,167.55
342,Wallace,0,157.26,157.52,0.0,117.44,167.55
343,Wallace,0,157.52,157.7,0.0,117.44,167.55
344,Wallace,0,157.7,158.17,0.0,117.44,167.55
345,Wallace,0,158.17,158.69,0.0,117.44,167.55
346,Wallace,0,158.7,159.24,0.0,117.44,167.55
347,Wallace,0,159.32,159.92,0.0,117.44,167.55
348,Wallace,0,159.92,160.02,0.0,117.44,167.55
349,Wallace,0,160.02,160.18,0.0,117.44,167.55
350,Wallace,0,160.18,160.77,0.0,117.44,167.55
351,Wallace,0,161.24,161.44,0.0,117.44,167.55
352,Wallace,0,161.44,162.18,0.0,117.44,167.55
353,Wallace,0,162.18,162.83,0.0,117.44,167.55
354,Wallace,0,162.84,163.13,0.0,117.44,167.55
355,Wallace,0,163.13,163.42,0.0,117.44,167.55
356,Wallace,0,163.42,163.52,0.0,117.44,167.55
357,Wallace,0,163.52,163.97,0.0,117.44,167.55
358,Wallace,0,164.54,164.97,0.0,117.44,167.55
359,Wallace,0,164.97,165.21,0.0,117.44,167.55
360,Wallace,0,165.21,165.28,0.0,117.44,167.55
361,Wallace,0,165.28,165.43,0.0,117.44,167.55
362,Wallace,0,165.43,165.69,0.0,117.44,167.55
363,Wallace,0,165.69,166.03,0.0,117.44,167.55
364,Wallace,0,166.03,166.12,0.0,117.44,167.55
365,Wallace,0,166.12,166.26,0.0,117.44,167.55
366,Wallace,0,166.26,166.82,0.0,117.44,167.55
367,Wallace,0,166.92,167.06,0.0,117.44,167.55
368,Wallace,0,167.06,167.55,-2.0,117.44,167.55
369,Trump,2,167.74,167.95,0.0,167.74,248.06
370,Trump,2,167.95,168.02,0.0,167.74,248.06
371,Trump,2,168.02,168.23,0.0,167.74,248.06
372,Trump,2,168.23,168.51,0.0,167.74,248.06
373,Trump,2,168.51,168.82,0.0,167.74,248.06
374,Trump,2,168.83,169.04,0.0,167.74,248.06
375,Trump,2,169.04,169.24,0.0,167.74,248.06
376,Trump,2,169.24,169.47,0.0,167.74,248.06
377,Trump,2,169.47,169.67,0.0,167.74,248.06
378,Trump,2,169.67,169.91,0.0,167.74,248.06
379,Trump,2,169.91,170.29,0.0,167.74,248.06
380,Trump,2,170.29,170.45,0.0,167.74,248.06
381,Trump,2,170.45,170.64,0.0,167.74,248.06
382,Trump,2,170.64,170.76,0.0,167.74,248.06
383,Trump,2,170.76,171.35,0.0,167.74,248.06
384,Trump,2,171.82,172.41,0.0,167.74,248.06
385,Trump,2,172.41,172.64,0.0,167.74,248.06
386,Trump,2,172.64,173.69,0.0,167.74,248.06
387,Trump,2,173.99,174.13,0.0,167.74,248.06
388,Trump,2,174.13,174.28,0.0,167.74,248.06
389,Trump,2,174.28,174.37,0.0,167.74,248.06
390,Trump,2,174.37,174.87,0.0,167.74,248.06
391,Trump,2,174.91,175.16,0.0,167.74,248.06
392,Trump,2,175.16,175.51,0.0,167.74,248.06
393,Trump,2,175.52,175.74,0.0,167.74,248.06
394,Trump,2,175.74,175.99,0.0,167.74,248.06
395,Trump,2,175.99,176.45,0.0,167.74,248.06
396,Trump,2,176.46,176.96,0.0,167.74,248.06
397,Trump,2,177.34,177.55,0.0,167.74,248.06
398,Trump,2,177.55,177.71,0.0,167.74,248.06
399,Trump,2,177.71,177.81,0.0,167.74,248.06
400,Trump,2,177.81,178.88,0.0,167.74,248.06
401,Trump,2,179.0,179.69,0.0,167.74,248.06
402,Trump,2,180.03,180.59,0.0,167.74,248.06
403,Trump,2,180.59,180.81,0.0,167.74,248.06
404,Trump,2,180.81,181.32,0.0,167.74,248.06
405,Trump,2,181.51,181.85,0.0,167.74,248.06
406,Trump,2,181.85,182.24,0.0,167.74,248.06
407,Trump,2,182.25,183.12,0.0,167.74,248.06
408,Trump,2,183.26,183.99,0.0,167.74,248.06
409,Trump,2,184.0,184.38,0.0,167.74,248.06
410,Trump,2,184.38,184.52,0.0,167.74,248.06
411,Trump,2,184.53,184.86,0.0,167.74,248.06
412,Trump,2,184.86,185.27,0.0,167.74,248.06
413,Trump,2,185.28,185.49,0.0,167.74,248.06
414,Trump,2,185.49,185.61,0.0,167.74,248.06
415,Trump,2,185.62,185.94,0.0,167.74,248.06
416,Trump,2,185.94,186.32,0.0,167.74,248.06
417,Trump,2,186.61,186.75,0.0,167.74,248.06
418,Trump,2,186.75,187.19,0.0,167.74,248.06
419,Trump,2,187.2,187.49,0.0,167.74,248.06
420,Trump,2,187.49,187.62,0.0,167.74,248.06
421,Trump,2,187.62,187.82,0.0,167.74,248.06
422,Trump,2,187.82,188.59,0.0,167.74,248.06
423,Trump,2,188.84,189.57,0.0,167.74,248.06
424,Trump,2,189.58,189.94,0.0,167.74,248.06
425,Trump,2,189.94,190.24,0.0,167.74,248.06
426,Trump,2,190.24,190.61,0.0,167.74,248.06
427,Trump,2,190.61,191.11,0.0,167.74,248.06
428,Trump,2,191.51,191.75,0.0,167.74,248.06
429,Trump,2,191.75,192.03,0.0,167.74,248.06
430,Trump,2,192.03,192.38,0.0,167.74,248.06
431,Trump,2,192.38,192.53,0.0,167.74,248.06
432,Trump,2,192.53,192.75,0.0,167.74,248.06
433,Trump,2,192.75,193.26,0.0,167.74,248.06
434,Trump,2,193.26,193.53,0.0,167.74,248.06
435,Trump,2,193.53,193.58,0.0,167.74,248.06
436,Trump,2,193.58,193.79,0.0,167.74,248.06
437,Trump,2,193.79,193.95,0.0,167.74,248.06
438,Trump,2,193.95,194.08,0.0,167.74,248.06
439,Trump,2,194.08,194.14,0.0,167.74,248.06
440,Trump,2,194.14,194.25,0.0,167.74,248.06
441,Trump,2,194.25,194.98,0.0,167.74,248.06
442,Trump,2,194.99,195.12,0.0,167.74,248.06
443,Trump,2,195.12,195.26,0.0,167.74,248.06
444,Trump,2,195.26,195.55,0.0,167.74,248.06
445,Trump,2,195.55,195.67,0.0,167.74,248.06
446,Trump,2,195.67,196.15,0.0,167.74,248.06
447,Trump,2,196.64,197.05,0.0,167.74,248.06
448,Trump,2,197.05,197.15,0.0,167.74,248.06
449,Trump,2,197.15,197.26,0.0,167.74,248.06
450,Trump,2,197.26,197.44,0.0,167.74,248.06
451,Trump,2,197.44,197.56,0.0,167.74,248.06
452,Trump,2,197.56,197.95,0.0,167.74,248.06
453,Trump,2,197.95,198.23,0.0,167.74,248.06
454,Trump,2,198.24,198.7,0.0,167.74,248.06
455,Trump,2,198.7,199.12,0.0,167.74,248.06
456,Trump,2,199.12,199.19,0.0,167.74,248.06
457,Trump,2,199.19,199.32,0.0,167.74,248.06
458,Trump,2,199.32,199.38,0.0,167.74,248.06
459,Trump,2,199.38,199.58,0.0,167.74,248.06
460,Trump,2,199.58,199.69,0.0,167.74,248.06
461,Trump,2,199.69,200.02,0.0,167.74,248.06
462,Trump,2,200.02,200.33,0.0,167.74,248.06
463,Trump,2,200.33,200.45,0.0,167.74,248.06
464,Trump,2,200.45,200.88,0.0,167.74,248.06
465,Trump,2,200.88,201.02,0.0,167.74,248.06
466,Trump,2,201.02,201.13,0.0,167.74,248.06
467,Trump,2,201.13,201.46,0.0,167.74,248.06
468,Trump,2,201.71,202.06,0.0,167.74,248.06
469,Trump,2,202.06,202.12,0.0,167.74,248.06
470,Trump,2,202.12,202.42,0.0,167.74,248.06
471,Trump,2,202.42,203.0,0.0,167.74,248.06
472,Trump,2,203.01,203.24,0.0,167.74,248.06
473,Trump,2,203.24,203.4,0.0,167.74,248.06
474,Trump,2,203.4,203.58,0.0,167.74,248.06
475,Trump,2,203.58,204.25,0.0,167.74,248.06
476,Trump,2,204.26,204.57,0.0,167.74,248.06
477,Trump,2,204.57,204.84,0.0,167.74,248.06
478,Trump,2,204.84,204.96,0.0,167.74,248.06
479,Trump,2,204.96,205.46,0.0,167.74,248.06
480,Trump,2,206.04,206.33,0.0,167.74,248.06
