,speaker_label,speaker_num,start_time,end_time,start_date_time,end_date_time
200,Trump,2,2575.54,2582.37,1970-01-01 00:42:56,1970-01-01 00:43:03
201,Wallace,0,2582.37,2591.31,1970-01-01 00:43:03,1970-01-01 00:43:12
202,Biden,1,2591.31,2592.82,1970-01-01 00:43:12,1970-01-01 00:43:13
203,Wallace,0,2592.83,2607.53,1970-01-01 00:43:13,1970-01-01 00:43:28
204,Trump,2,2607.54,2649.3,1970-01-01 00:43:28,1970-01-01 00:44:10
205,Biden,1,2649.3,2651.21,1970-01-01 00:44:10,1970-01-01 00:44:12
206,Biden,1,2651.79,2664.44,1970-01-01 00:44:12,1970-01-01 00:44:25
207,Trump,2,2664.45,2669.05,1970-01-01 00:44:25,1970-01-01 00:44:30
208,Wallace,0,2669.06,2677.68,1970-01-01 00:44:30,1970-01-01 00:44:38
209,Biden,1,2677.69,2687.06,1970-01-01 00:44:38,1970-01-01 00:44:48
210,Trump,2,2687.06,2702.02,1970-01-01 00:44:48,1970-01-01 00:45:03
211,Biden,1,2701.99,2714.7,1970-01-01 00:45:02,1970-01-01 00:45:15
212,Trump,2,2714.7,2727.38,1970-01-01 00:45:15,1970-01-01 00:45:28
213,Wallace,0,2727.39,2728.36,1970-01-01 00:45:28,1970-01-01 00:45:29
214,Biden,1,2728.37,2746.07,1970-01-01 00:45:29,1970-01-01 00:45:47
215,Trump,2,2746.07,2763.92,1970-01-01 00:45:47,1970-01-01 00:46:04
216,Trump,2,2764.48,2774.89,1970-01-01 00:46:05,1970-01-01 00:46:15
217,Wallace,0,2774.9,2776.73,1970-01-01 00:46:15,1970-01-01 00:46:17
218,Biden,1,2776.73,2778.14,1970-01-01 00:46:17,1970-01-01 00:46:19
219,Trump,2,2778.15,2781.12,1970-01-01 00:46:19,1970-01-01 00:46:22
220,Biden,1,2781.12,2785.61,1970-01-01 00:46:22,1970-01-01 00:46:26
221,Trump,2,2785.62,2793.25,1970-01-01 00:46:26,1970-01-01 00:46:34
222,Wallace,0,2793.26,2800.64,1970-01-01 00:46:34,1970-01-01 00:46:41
223,Trump,2,2800.65,2808.35,1970-01-01 00:46:41,1970-01-01 00:46:49
224,Biden,1,2808.35,2812.7,1970-01-01 00:46:49,1970-01-01 00:46:53
225,Biden,1,2813.38,2825.11,1970-01-01 00:46:54,1970-01-01 00:47:06
226,Biden,1,2827.18,2833.88,1970-01-01 00:47:08,1970-01-01 00:47:14
227,Trump,2,2833.89,2836.16,1970-01-01 00:47:14,1970-01-01 00:47:17
228,Wallace,0,2836.17,2837.18,1970-01-01 00:47:17,1970-01-01 00:47:18
229,Biden,1,2837.19,2853.74,1970-01-01 00:47:18,1970-01-01 00:47:34
230,Trump,2,2853.74,2855.99,1970-01-01 00:47:34,1970-01-01 00:47:36
231,Trump,2,2856.68,2857.48,1970-01-01 00:47:37,1970-01-01 00:47:38
232,Wallace,0,2857.49,2859.14,1970-01-01 00:47:38,1970-01-01 00:47:40
233,Biden,1,2859.15,2862.18,1970-01-01 00:47:40,1970-01-01 00:47:43
234,Trump,2,2862.19,2869.74,1970-01-01 00:47:43,1970-01-01 00:47:50
235,Biden,1,2869.74,2878.94,1970-01-01 00:47:50,1970-01-01 00:47:59
236,Trump,2,2878.94,2887.73,1970-01-01 00:47:59,1970-01-01 00:48:08
237,Biden,1,2887.73,2902.65,1970-01-01 00:48:08,1970-01-01 00:48:23
238,Wallace,0,2902.66,2906.14,1970-01-01 00:48:23,1970-01-01 00:48:27
239,Biden,1,2906.15,2906.88,1970-01-01 00:48:27,1970-01-01 00:48:27
240,Trump,2,2906.88,2913.71,1970-01-01 00:48:27,1970-01-01 00:48:34
241,Wallace,0,2913.71,2915.88,1970-01-01 00:48:34,1970-01-01 00:48:36
242,Trump,2,2915.89,2920.72,1970-01-01 00:48:36,1970-01-01 00:48:41
243,Wallace,0,2920.72,2942.78,1970-01-01 00:48:41,1970-01-01 00:49:03
244,Wallace,0,2943.47,2960.08,1970-01-01 00:49:04,1970-01-01 00:49:21
245,Trump,2,2960.08,2961.65,1970-01-01 00:49:21,1970-01-01 00:49:22
246,Wallace,0,2961.66,2967.21,1970-01-01 00:49:22,1970-01-01 00:49:28
247,Wallace,0,2967.87,2982.35,1970-01-01 00:49:28,1970-01-01 00:49:43
248,Wallace,0,2983.37,2986.58,1970-01-01 00:49:44,1970-01-01 00:49:47
249,Wallace,0,2987.17,3008.39,1970-01-01 00:49:48,1970-01-01 00:50:09
250,Biden,1,3009.36,3014.7,1970-01-01 00:50:10,1970-01-01 00:50:15
251,Biden,1,3015.36,3128.06,1970-01-01 00:50:16,1970-01-01 00:52:09
252,Wallace,0,3128.07,3134.55,1970-01-01 00:52:09,1970-01-01 00:52:15
253,Trump,2,3134.55,3254.97,1970-01-01 00:52:15,1970-01-01 00:54:15
254,Wallace,0,3255.04,3279.43,1970-01-01 00:54:16,1970-01-01 00:54:40
255,Biden,1,3279.5,3345.02,1970-01-01 00:54:40,1970-01-01 00:55:46
256,Trump,2,3345.03,3355.38,1970-01-01 00:55:46,1970-01-01 00:55:56
257,Wallace,0,3355.39,3360.94,1970-01-01 00:55:56,1970-01-01 00:56:01
258,Wallace,0,3361.63,3372.84,1970-01-01 00:56:02,1970-01-01 00:56:13
259,Wallace,0,3373.43,3381.92,1970-01-01 00:56:14,1970-01-01 00:56:22
260,Trump,2,3382.18,3425.26,1970-01-01 00:56:23,1970-01-01 00:57:06
261,Trump,2,3426.03,3438.75,1970-01-01 00:57:07,1970-01-01 00:57:19
262,Wallace,0,3438.75,3439.96,1970-01-01 00:57:19,1970-01-01 00:57:20
263,Biden,1,3439.97,3446.55,1970-01-01 00:57:20,1970-01-01 00:57:27
264,Biden,1,3447.43,3501.35,1970-01-01 00:57:28,1970-01-01 00:58:22
265,Wallace,0,3501.36,3503.3,1970-01-01 00:58:22,1970-01-01 00:58:24
266,Trump,2,3503.31,3532.2,1970-01-01 00:58:24,1970-01-01 00:58:53
267,Biden,1,3532.2,3533.96,1970-01-01 00:58:53,1970-01-01 00:58:54
268,Trump,2,3533.96,3540.26,1970-01-01 00:58:54,1970-01-01 00:59:01
269,Biden,1,3540.26,3551.81,1970-01-01 00:59:01,1970-01-01 00:59:12
270,Trump,2,3551.81,3558.55,1970-01-01 00:59:12,1970-01-01 00:59:19
271,Wallace,0,3558.56,3561.54,1970-01-01 00:59:19,1970-01-01 00:59:22
272,Trump,2,3561.54,3564.8,1970-01-01 00:59:22,1970-01-01 00:59:25
273,Wallace,0,3564.8,3584.94,1970-01-01 00:59:25,1970-01-01 00:59:45
274,Trump,2,3585.62,3624.93,1970-01-01 00:59:46,1970-01-01 01:00:25
275,Biden,1,3624.93,3627.37,1970-01-01 01:00:25,1970-01-01 01:00:28
276,Trump,2,3627.37,3630.58,1970-01-01 01:00:28,1970-01-01 01:00:31
277,Biden,1,3630.59,3662.92,1970-01-01 01:00:31,1970-01-01 01:01:03
278,Wallace,0,3662.92,3675.74,1970-01-01 01:01:03,1970-01-01 01:01:16
279,Wallace,0,3676.61,3687.95,1970-01-01 01:01:17,1970-01-01 01:01:28
280,Wallace,0,3689.01,3694.42,1970-01-01 01:01:30,1970-01-01 01:01:35
281,Biden,1,3694.53,3735.11,1970-01-01 01:01:35,1970-01-01 01:02:16
